new-namespace	classname	path	old-namespace
Http\Exception	HeaderNotPresentException	src/Http/Exception/HeaderNotPresentException.php	LizardsAndPumpkins\Http\Exception
Context\BaseUrl	HttpBaseUrl	src/BaseUrl/HttpBaseUrl.php	LizardsAndPumpkins\BaseUrl
Http	HttpGetRequest	src/Http/HttpGetRequest.php	LizardsAndPumpkins\Http
Http	HttpHeaders	src/Http/HttpHeaders.php	LizardsAndPumpkins\Http
Http	HttpPostRequest	src/Http/HttpPostRequest.php	LizardsAndPumpkins\Http
Http	HttpPutRequest	src/Http/HttpPutRequest.php	LizardsAndPumpkins\Http
Http	HttpRequestBody	src/Http/HttpRequestBody.php	LizardsAndPumpkins\Http
Http\Routing\Exception	HttpResourceNotFoundResponse	src/Http/HttpResourceNotFoundResponse.php	LizardsAndPumpkins\Http
Http\Routing	HttpRouterChain	src/Http/HttpRouterChain.php	LizardsAndPumpkins\Http
Http	HttpsUrl	src/Http/HttpsUrl.php	LizardsAndPumpkins\Http
Http	HttpUrl	src/Http/HttpUrl.php	LizardsAndPumpkins\Http
Import\Image	ImageFileDoesNotExistException	src/Image/Exception/ImageFileDoesNotExistException.php	LizardsAndPumpkins\Image\Exception
Import\ImageStorage	ImageInStorage	src/Utils/ImageStorage/ImageInStorage.php	LizardsAndPumpkins\Utils\ImageStorage
Import\ImageStorage\ImageProcessing\ImageMagick	ImageMagickInscribeStrategy	src/Image/ImageMagickInscribeStrategy.php	LizardsAndPumpkins\Image
Import\ImageStorage\ImageProcessing\ImageMagick	ImageMagickResizeStrategy	src/Image/ImageMagickResizeStrategy.php	LizardsAndPumpkins\Image
Import\ImageStorage\ImageProcessing	ImageProcessingStrategySequence	src/Image/ImageProcessingStrategySequence.php	LizardsAndPumpkins\Image
Import\ImageStorage\ImageProcessing	ImageProcessor	src/Image/ImageProcessor.php	LizardsAndPumpkins\Image
Import\ImageStorage\ImageProcessing	ImageProcessorCollection	src/Image/ImageProcessorCollection.php	LizardsAndPumpkins\Image
Import\Image	ImageWasAddedDomainEvent	src/Image/ImageWasAddedDomainEvent.php	LizardsAndPumpkins\Image
Import\Image	ImageWasAddedDomainEventHandler	src/Image/ImageWasAddedDomainEventHandler.php	LizardsAndPumpkins\Image
Logging	InMemoryLogger	src/Log/InMemoryLogger.php	LizardsAndPumpkins\Log
DataPool\SearchEngine\InMemory	InMemorySearchEngine	src/DataPool/SearchEngine/InMemorySearchEngine.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\UrlKeyStore	InMemoryUrlKeyStore	src/DataPool/UrlKeyStore/InMemoryUrlKeyStore.php	LizardsAndPumpkins\DataPool\UrlKeyStore
Import\Product\View	IntegrationTestConfigurableProductView	src/Projection/Catalog/IntegrationTestConfigurableProductView.php	LizardsAndPumpkins\Projection\Catalog
Import\Product\View	IntegrationTestProductView	src/Projection/Catalog/IntegrationTestProductView.php	LizardsAndPumpkins\Projection\Catalog
Import\Product\View	IntegrationTestProductViewLocator	src/Projection/Catalog/IntegrationTestProductViewLocator.php	LizardsAndPumpkins\Projection\Catalog
DataPool\UrlKeyStore	IntegrationTestUrlKeyStoreAbstract	src/DataPool/UrlKeyStore/IntegrationTestUrlKeyStoreAbstract.php	LizardsAndPumpkins\DataPool\UrlKeyStore
Import\Product\Exception	InvalidAttributeCodeException	src/Product/Exception/InvalidAttributeCodeException.php	LizardsAndPumpkins\Product\Exception
Context\BaseUrl\Exception	InvalidBaseUrlSourceDataException	src/BaseUrl/Exception/InvalidBaseUrlSourceDataException.php	LizardsAndPumpkins\BaseUrl\Exception
Import\ImageStorage\ImageProcessing\Exception	InvalidBinaryImageDataException	src/Image/Exception/InvalidBinaryImageDataException.php	LizardsAndPumpkins\Image\Exception
Import\ImageStorage\ImageProcessing\Exception	InvalidColorException	src/Image/Exception/InvalidColorException.php	LizardsAndPumpkins\Image\Exception
Import\ContentBlock\RestApi\Exception	InvalidContentBlockContextException	src/Content/Exception/InvalidContentBlockContextException.php	LizardsAndPumpkins\Content\Exception
Import\ContentBlock\Exception	InvalidContentBlockIdException	src/Content/Exception/InvalidContentBlockIdException.php	LizardsAndPumpkins\Content\Exception
Import\ContentBlock\RestApi\Exception	InvalidContentBlockUrlKey	src/Content/Exception/InvalidContentBlockUrlKey.php	LizardsAndPumpkins\Content\Exception
UNUSED	InvalidContextDataStringException	src/DataPool/UrlKeyStore/Exception/InvalidContextDataStringException.php	LizardsAndPumpkins\DataPool\UrlKeyStore\Exception
Context\Country\Exception	InvalidCountrySpecificationException	src/Country/Exception/InvalidCountrySpecificationException.php	LizardsAndPumpkins\Country\Exception
DataPool\SearchEngine\SearchCriteria\Exception	InvalidCriterionConditionException	src/DataPool/SearchEngine/SearchCriteria/Exception/InvalidCriterionConditionException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria\Exception
DataPool\SearchEngine\SearchCriteria\Exception	InvalidCriterionNameException	src/DataPool/SearchEngine/SearchCriteria/Exception/InvalidCriterionNameException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria\Exception
Import\Product\Listing\Exception	InvalidCriterionOperationXmlAttributeException	src/Product/Exception/InvalidCriterionOperationXmlAttributeException.php	LizardsAndPumpkins\Product\Exception
DataPool\SearchEngine\SearchCriteria\Exception	InvalidCriterionValueTypeException	src/DataPool/SearchEngine/SearchCriteria/Exception/InvalidCriterionValueTypeException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria\Exception
UNUSED	InvalidDirectoryPathException	src/Utils/Exception/InvalidDirectoryPathException.php	LizardsAndPumpkins\Utils\Exception
DataPool\SearchEngine\Exception	InvalidFacetFieldValueCountException	src/DataPool/SearchEngine/Exception/InvalidFacetFieldValueCountException.php	LizardsAndPumpkins\DataPool\SearchEngine\Exception
DataPool\SearchEngine\Exception	InvalidFacetFieldValueException	src/DataPool/SearchEngine/Exception/InvalidFacetFieldValueException.php	LizardsAndPumpkins\DataPool\SearchEngine\Exception
DataPool\SearchEngine\Exception	InvalidFacetFilterRangeBoundariesException	src/DataPool/SearchEngine/Exception/InvalidFacetFilterRangeBoundariesException.php	LizardsAndPumpkins\DataPool\SearchEngine\Exception
UNUSED	InvalidFieldListSpecificationException	src/DataPool/SearchEngine/SearchDocument/Exception/InvalidFieldListSpecificationException.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception
Import\FileStorage\Exception	InvalidFileContentTypeException	src/Utils/FileStorage/Exception/InvalidFileContentTypeException.php	LizardsAndPumpkins\Utils\FileStorage\Exception
Import\FileStorage\Exception	InvalidFileIdentifierException	src/Utils/FileStorage/Exception/InvalidFileIdentifierException.php	LizardsAndPumpkins\Utils\FileStorage\Exception
Import\FileStorage\Exception	InvalidFileURIException	src/Utils/FileStorage/Exception/InvalidFileURIException.php	LizardsAndPumpkins\Utils\FileStorage\Exception
Http\Exception	InvalidHttpHeadersException	src/Http/Exception/InvalidHttpHeadersException.php	LizardsAndPumpkins\Http\Exception
Http\Exception	InvalidHttpRequestBodyException	src/Http/Exception/InvalidHttpRequestBodyException.php	LizardsAndPumpkins\Http\Exception
Import\ImageStorage\ImageProcessing\Exception	InvalidImageDimensionException	src/Image/Exception/InvalidImageDimensionException.php	LizardsAndPumpkins\Image\Exception
Import\ImageStorage\Exception	InvalidImageFileNameException	src/Product/ProductImage/Exception/InvalidImageFileNameException.php	LizardsAndPumpkins\Product\ProductImage\Exception
Import\ImageStorage\Exception	InvalidImageVariantCodeException	src/Product/ProductImage/Exception/InvalidImageVariantCodeException.php	LizardsAndPumpkins\Product\ProductImage\Exception
DataPool\KeyValueStore\Exception	InvalidKeyException	src/Exception/InvalidKeyException.php	LizardsAndPumpkins\Exception
DataPool\KeyValueStore\Exception	InvalidKeyValueStoreKeyException	src/DataPool/Exception/InvalidKeyValueStoreKeyException.php	LizardsAndPumpkins\DataPool\Exception
Import\ImageStorage\Exception	InvalidMediaBaseUrlPathException	src/Utils/ImageStorage/Exception/InvalidMediaBaseUrlPathException.php	LizardsAndPumpkins\Utils\ImageStorage\Exception
Import\Product\Listing\Exception	InvalidNumberOfCriteriaXmlNodesException	src/Product/Exception/InvalidNumberOfCriteriaXmlNodesException.php	LizardsAndPumpkins\Product\Exception
